,zmage,izenačenja,porazi
0,812,4,184
1,781,7,212
2,809,3,188
3,761,19,220
4,773,9,218
5,789,9,202
6,757,5,238
7,745,2,253
8,764,3,233
9,740,6,254
10,779,9,212
11,757,10,233
12,772,11,217
13,779,8,213
14,782,7,211
15,772,9,219
16,774,4,222
17,778,8,214
18,791,8,201
19,769,6,225
20,772,5,223
21,755,6,239
22,769,6,225
23,780,8,212
24,760,9,231
25,779,2,219
26,798,7,195
27,754,6,240
28,765,3,232
29,755,7,238
30,765,8,227
31,803,9,188
32,770,8,222
33,752,10,238
34,794,7,199
35,782,6,212
36,768,6,226
37,747,12,241
38,809,10,181
39,773,9,218
40,781,7,212
41,797,4,199
42,768,7,225
43,801,3,196
44,776,7,217
45,794,11,195
46,774,9,217
47,778,6,216
48,777,4,219
49,804,5,191
50,790,8,202
51,762,6,232
52,794,7,199
53,785,9,206
54,780,10,210
55,791,8,201
56,776,7,217
57,785,8,207
58,781,10,209
59,808,6,186
60,785,3,212
61,783,7,210
62,808,3,189
63,771,11,218
64,807,6,187
65,781,2,217
66,800,7,193
67,785,2,213
68,779,8,213
69,817,6,177
70,777,6,217
71,782,11,207
72,797,9,194
73,782,8,210
74,794,4,202
75,774,8,218
76,800,9,191
77,785,9,206
78,798,11,191
79,788,8,204
80,787,7,206
