,zmage,izenačenja,porazi
0,797,5,198
1,819,5,176
2,792,6,202
3,804,3,193
4,785,6,209
5,779,5,216
6,791,11,198
7,771,3,226
8,806,5,189
9,799,6,195
10,783,11,206
11,795,7,198
12,779,4,217
13,756,4,240
14,764,7,229
15,772,6,222
16,762,9,229
17,761,10,229
18,772,5,223
19,769,12,219
20,786,14,200
21,750,10,240
22,773,5,222
23,768,6,226
24,738,7,255
25,765,5,230
26,763,12,225
27,788,9,203
28,761,13,226
29,788,6,206
30,780,10,210
31,761,6,233
32,753,5,242
33,768,12,220
34,747,5,248
35,786,7,207
36,773,4,223
37,801,13,186
38,782,5,213
39,759,9,232
40,822,6,172
41,798,7,195
42,770,9,221
43,784,5,211
44,784,8,208
45,800,8,192
46,795,11,194
47,802,10,188
48,800,3,197
49,775,3,222
50,798,6,196
51,785,3,212
52,804,9,187
53,796,3,201
54,769,18,213
55,790,4,206
56,795,7,198
57,797,6,197
58,814,6,180
59,750,11,239
60,784,12,204
61,778,12,210
62,785,7,208
63,763,13,224
64,790,4,206
65,759,8,233
66,806,5,189
67,774,5,221
68,786,9,205
69,786,8,206
70,779,6,215
71,785,10,205
72,793,4,203
73,801,6,193
74,771,7,222
75,783,6,211
76,768,6,226
77,786,15,199
78,782,5,213
79,778,4,218
80,792,9,199
